id,database_name,table_name,question,sql,lang,hit,scenario,target_users,updated_date,b_question,b_sql,comment,deleted
,imdb,imdb_movie_dataset,What is the average metascore of the movies in the dataset?,SELECT AVG(metascore) AS average_metascore FROM imdb_movie_dataset;,English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,How many movies in the dataset have a revenue greater than 100 million dollars?,SELECT COUNT(*) AS movies_with_revenue_above_100m FROM imdb_movie_dataset WHERE revenuemillions > 100;,English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,Which director has the highest average metascore for their movies?,"SELECT director, AVG(metascore) AS average_metascore FROM imdb_movie_dataset GROUP BY director ORDER BY average_metascore DESC LIMIT 1;",English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,What is the total number of votes received by all the movies in the dataset?,SELECT SUM(votes) AS total_votes FROM imdb_movie_dataset;,English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,Which genre has the highest average revenue among the movies in the dataset?,"SELECT genre, AVG(revenuemillions) AS average_revenue FROM imdb_movie_dataset GROUP BY genre ORDER BY average_revenue DESC LIMIT 1;",English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,How many movies in the dataset have a metascore above 80?,SELECT COUNT(*) AS movies_with_metascore_above_80 FROM imdb_movie_dataset WHERE metascore > 80;,English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,What is the average runtime in minutes of the movies released in the year 2015?,SELECT AVG(runtimeminutes) AS average_runtime_2015 FROM imdb_movie_dataset WHERE year = 2015;,English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,Which actor appears in the most number of movies in the dataset?,"SELECT actors, COUNT(*) AS movie_count FROM imdb_movie_dataset GROUP BY actors ORDER BY movie_count DESC LIMIT 1;",English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,What is the total revenue generated by all the movies in the dataset?,SELECT SUM(revenuemillions) AS total_revenue FROM imdb_movie_dataset;,English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,How many movies in the dataset belong to the genre Comedy?,SELECT COUNT(*) AS comedy_movies_count FROM imdb_movie_dataset WHERE genre LIKE '%Comedy%';,English,1,Movie Rating Analysis,"['Movie analysts', 'Marketing teams']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,What is the average revenue generated by movies in the dataset?,SELECT AVG(revenuemillions) AS average_revenue FROM imdb_movie_dataset;,English,1,Revenue Comparison,"['Production companies', 'Financial analysts']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,Which movie has the highest metascore?,"SELECT title, metascore FROM imdb_movie_dataset ORDER BY metascore DESC LIMIT 1;",English,1,Revenue Comparison,"['Production companies', 'Financial analysts']",2024-12-13,N/A,N/A,,
,imdb,imdb_movie_dataset,How many votes were received by the movie 'Doctor Strange'?,SELECT votes FROM imdb_movie_dataset WHERE title = 'Doctor Strange';,English,1,Revenue Comparison,"['Production companies', 'Financial analysts']",2024-12-13,N/A,N/A,,
