id,database_name,table_name,question,sql,lang,hit,scenario,target_users,b_id,comment,updated_date,deleted
68af54d5e367d8a73bbb3def5c80dbbd,imdb,imdb_movie_dataset,どのジャンルの映画が最も高いメタスコアを持っていますか？,"SELECT genre, MAX(metascore) FROM imdb_movie_dataset;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",68af54d5e367d8a73bbb3def5c80dbbd,abc,2024/12/18,TRUE
e1779eff0454af4ca93ffde3f09e1fbf,imdb,imdb_movie_dataset,どの監督の映画が最も多くの投票を受けましたか？,"SELECT director, MAX(votes) FROM imdb_movie_dataset;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",68af54d5e367d8a73bbb3def5c80dbbd,,2024/12/18,
0ff69bd32d406681c9c3c3f09c1cb237,imdb,imdb_movie_dataset,何年に最も多くの映画がリリースされましたか？,"SELECT year, COUNT(title) FROM imdb_movie_dataset GROUP BY year ORDER BY COUNT(title) DESC LIMIT 1;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
8403829020e21b5d90e091c82f48ed4f,imdb,imdb_movie_dataset,平均評価が最も高いジャンルは何ですか？,"SELECT genre, AVG(rating) FROM imdb_movie_dataset GROUP BY genre ORDER BY AVG(rating) DESC LIMIT 1;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
83182e1f9ba0a8b81cf52ad336d9594e,imdb,imdb_movie_dataset,平均再生時間が最も長い監督は誰ですか？,"SELECT director, AVG(runtimeminutes) FROM imdb_movie_dataset GROUP BY director ORDER BY AVG(runtimeminutes) DESC LIMIT 1;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
e650e03ba6db2e6b76683bd685ca4ce9,imdb,imdb_movie_dataset,収益が最も高い映画は何ですか？,"SELECT title, MAX(revenuemillions) FROM imdb_movie_dataset;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
989f8082cff1deeb45801d589fb3c73f,imdb,imdb_movie_dataset,メタスコアが最も低い映画のタイトルは何ですか？,"SELECT title, MIN(metascore) FROM imdb_movie_dataset;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
59b6f8f7648eef5d640c9e3598964119,imdb,imdb_movie_dataset,どのジャンルの映画が平均的に最も長い再生時間を持っていますか？,"SELECT genre, AVG(runtimeminutes) FROM imdb_movie_dataset GROUP BY genre ORDER BY AVG(runtimeminutes) DESC LIMIT 1;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
984aa34335245b55acd992c2393cd64a,imdb,imdb_movie_dataset,評価数が最も多い映画のランキングは何位ですか？,"SELECT rank, MAX(votes) FROM imdb_movie_dataset;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
af4f447b6c92fe84bb6d8436a3fdd569,imdb,imdb_movie_dataset,映画の平均評価と平均収益には相関関係がありますか？,"SELECT AVG(rating), AVG(revenuemillions) FROM imdb_movie_dataset;",Japanese,1,Movie Ranking Analysis,"['Movie critics', 'Marketing analysts']",,,2024/12/18,
