brand,color,cpu_brand,cpu_core_number,cpu_main_frequency,depth,disk_capacity,disktype,foldability,goods_status,gpu_brand,gpu_series,height,intelligence,max_memory_capacity,memory_capacity,memory_slot_number,memory_type,mtm_number,os,pre_installed_software,price,product_cate1,product_cate2,product_item_name,product_name,ram,rom,scene,screen_size,screen_type,series,service_description,size,stock_number,target_audience,time_to_market,uid,url,video_card_type,width
联想,,,,,,,移动硬盘,,上架,,,,智能数码,,1,,,GXB0H43289,,,479,电脑配套设备,电脑组件,硬盘,联想+usb3.0+移动硬盘f309+灰+1tb,,,,,,,,,0,,2018-01-10,5,https://item.lenovo.com.cn/product/48474.html,,
联想,,,,,,,,,上架,,,,,,,,,GX40K27873,,,59,礼品箱包,包,背包,联想笔记本单肩包鼠套装tm200,,,,,,,,,0,,2017-12-14,3,https://item.lenovo.com.cn/product/48070.html,,
联想,黑色,,,,,,,,下架,,,,,,,,,43001850,,,429,综合办公用品,办公耗材,硒鼓,联想+ld201黑色原装硒鼓+(适用于lj2205/+m7206等睿省系列产品）,,,办公,,,,,,0,商务人士,2015-07-28,7,https://item.lenovo.com.cn/product/50445.html,,
联想,,,,,,,,,下架,,,,,,,,,43001663,,,369,综合办公用品,办公耗材,墨盒,联想lt2641h原装专用墨粉(适用于2650dn/m7650df/650dnf打印机),,,,,,,,,24,,2015-07-28,11,https://item.lenovo.com.cn/product/50450.html,,
联想,,,,,,,,,下架,,,,,,,,,43001661,,,519,综合办公用品,办公耗材,硒鼓,联想ld2441硒鼓(适用lj2400t+lj2400+m7400+m7450f打印机),,,,,,,,,11,,2015-07-28,9,https://item.lenovo.com.cn/product/50448.html,,
联想,黑色,,,,,,,,下架,,,,,,,,,43001505,,,548,综合办公用品,办公耗材,硒鼓,联想ld2922黑色硒鼓（适用m7205/m7250/m7250n/m7260/m7215打印机）,,,,,,,,,14,,2018-01-11,13,https://item.lenovo.com.cn/product/50457.html,,
,,,,,,,固态硬盘,,下架,,,,,,,,,31069117,,,3999,电脑配套设备,电脑组件,硬盘,1tb固态硬盘升级服务sata3,,,,,,,,,16,,2017-12-05,19,https://item.lenovo.com.cn/product/51612.html,,
,,,,,,,固态硬盘,,下架,,,,,,,,,31070553,,,499,电脑配套设备,电脑组件,硬盘,128g固态硬盘升级服务ngff(80mm单面),,,,,,,,,0,,2018-03-26,15,https://item.lenovo.com.cn/product/51555.html,,
联想,,,,,,,,,下架,,,,,,,,,31056964,,,99,电脑配套设备,电脑组件,光驱,lenovo+12.7mm光驱托架,,,,,,,,,0,,2018-01-25,21,https://item.lenovo.com.cn/product/51625.html,,
,,,,,,,固态硬盘,,下架,,,,,,,,,31069115,,,2499,电脑配套设备,电脑组件,硬盘,512g固态硬盘升级服务msata,,,,,,,,,18,,2016-04-26,17,https://item.lenovo.com.cn/product/51608.html,,
